0Tag_SCHEMA; alumni;  ; none;  ; applying-success;  ; 1Tag_CATEGORY; Tables;  table;  none;  extended;  ; ; 2Tag_TABLE; atvgift;  ; ; ; applying-success;  category Schemas,schema ALUMNI,category Tables,table ATVGIFT;  
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Tables;  table;  none;  extended;  ; ; 2Tag_TABLE; charset_mapping;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Tables;  table;  none;  extended;  ; ; 2Tag_TABLE; jobs;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Tables;  table;  none;  extended;  ; ; 2Tag_TABLE; mail_messages;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Tables;  table;  none;  extended;  ; ; 2Tag_TABLE; mapped_error_codes;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Tables;  table;  none;  extended;  ; ; 2Tag_TABLE; service_settings;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Tables;  table;  none;  extended;  ; ; 2Tag_TABLE; versions;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_all_constraints;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_all_objects;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_all_sequences;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_all_tab_columns;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_all_tables;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_all_users;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_all_views;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_dba_constraints;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_dba_objects;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_dba_sequences;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_dba_tab_columns;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_dba_tables;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_dba_users;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_dba_views;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_user_constraints;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_user_objects;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_user_sequences;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_user_tab_columns;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_user_tables;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_user_users;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Views;  view;  none;  extended;  ; ; 2Tag_VIEW; sys_user_views;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Sequences;  sequence;  none;  none;  ; ; 2Tag_SEQUENCE; charset_mapping_id_seq;  ; full;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Sequences;  sequence;  none;  none;  ; ; 2Tag_SEQUENCE; jobs_job_seq;  ; full;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Sequences;  sequence;  none;  none;  ; ; 2Tag_SEQUENCE; mail_messages_id_seq;  ; full;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; User defined types;  type;  none;  extended;  ; ; 2Tag_TYPE; utl_smtp$connection;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; User defined types;  type;  none;  extended;  ; ; 2Tag_TYPE; utl_smtp$reply;  ; none;  ; ; ; 
0Tag_SCHEMA; aws_oracle_ext;  ; part;  ; ; ; 1Tag_CATEGORY; Domains;  domain;  full;  extended;  ; ; 2Tag_DOMAIN; utl_smtp$replies;  ; full;  ; ; ; 
0Tag_SCHEMA; banimgr;  ; ; ; applying-success;  category Schemas,schema BANIMGR;  1Tag_CATEGORY; Tables;  table;  ; ; ; category Schemas,schema BANIMGR,category Tables;  2Tag_TABLE; etvaxap;  ; ; ; applying-success;  category Schemas,schema BANIMGR,category Tables,table ETVAXAP;  
0Tag_SCHEMA; banimgr;  ; ; ; applying-success;  category Schemas,schema BANIMGR;  1Tag_CATEGORY; Tables;  table;  ; ; ; category Schemas,schema BANIMGR,category Tables;  2Tag_TABLE; etvdtyp;  ; ; ; applying-success;  category Schemas,schema BANIMGR,category Tables,table ETVDTYP;  
0Tag_SCHEMA; banimgr;  ; ; ; applying-success;  category Schemas,schema BANIMGR;  1Tag_CATEGORY; Tables;  table;  ; ; ; category Schemas,schema BANIMGR,category Tables;  2Tag_TABLE; exbinst;  ; ; ; applying-success;  category Schemas,schema BANIMGR,category Tables,table EXBINST;  
0Tag_SCHEMA; banimgr;  ; ; ; applying-success;  category Schemas,schema BANIMGR;  1Tag_CATEGORY; Tables;  table;  ; ; ; category Schemas,schema BANIMGR,category Tables;  2Tag_TABLE; exraxpa;  ; ; ; applying-success;  category Schemas,schema BANIMGR,category Tables,table EXRAXPA;  
0Tag_SCHEMA; banimgr;  ; ; ; applying-success;  category Schemas,schema BANIMGR;  1Tag_CATEGORY; Tables;  table;  ; ; ; category Schemas,schema BANIMGR,category Tables;  2Tag_TABLE; exrbcxt;  ; ; ; applying-success;  category Schemas,schema BANIMGR,category Tables,table EXRBCXT;  
0Tag_SCHEMA; banimgr;  ; ; ; applying-success;  category Schemas,schema BANIMGR;  1Tag_CATEGORY; Tables;  table;  ; ; ; category Schemas,schema BANIMGR,category Tables;  2Tag_TABLE; exrrslt;  ; ; ; applying-success;  category Schemas,schema BANIMGR,category Tables,table EXRRSLT;  
